NO,프로젝트 정보,,,,,,,,,행사 정보,,,
,PM 프로필,,프로젝트명,연도,행사시작일,행사종료일,발주처,행사분류,산업분류,주최기관,주관기관,사업개요,연관어
28,공간 사업부,놀이터사업팀,"은평아이맘놀이터 2호점,3호점 바닥 및 보완공사",2025,"2025-07-23, 2025-07-23","2025-08-16, 2025-08-16",은평구,공간사업(놀이터),건설/건축/인테리어,은평구,은평구,,
29,E&E 사업부,이벤트&엑스포 2팀,국민소통 행사 ,2025,"2025-07-23, 2025-08-13","2025-07-23, 2025-08-13",국정기획위원회,"이벤트, 프로모션",정책/행정/국방/소방/안전,국정기획위원회,국정기획위원회,국정기획위원회가 국민과 함께 수립한 이재명 정부의 국정과제를 국민의 대표(VIP)와 국민에게 보고하고 정부 관계자들과 공유하는 등 이재명 정부의 국정과제 발표 및 국민의 다양한 의견 소개가 펼쳐지는 장 마련 ,#보고회 #국정기획위원회 #새정부 #국민 
30,공간 사업부,놀이터사업팀,로얄새들승마클럽하우스 놀이시설 설계 및 제작,2025,2025-05-19,2025-07-31,한화넥스트,공간사업(놀이터),건설/건축/인테리어,한화넥스트,한화넥스트,"<네버랜드> 스토리를 담은 조성된 VIP 개인놀이터. 개인의 니즈를 반영하여 설계되었으며, 정글 언덕, 발달 그네, 조작놀이 등 다양한 활동이 가능하도록 구성하고 놀이와 인테리어가 조화를 이루는 공간으로 마련됨.","네버랜드, 실내놀이터, 신체놀이"
31,E&E 사업부,이벤트&엑스포 1팀,2025 월드 스마트시티 엑스포 (WSCE 2025),2025,2025-07-15,2025-07-17,국토교통부(MOLIT),"국제회의, 학술회의, 비즈니스 행사, 전시, 이벤트",과학/기술서비스,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","한국수자원공사(K-water), 한국토지주택공사(LH), 스마트도시협회, 벡스코(BEXCO), 부산광역시",,
32,공간 사업부,놀이터사업팀,서울형 키즈카페 창3동점 징검다리 그물 추가 제작 설치,2025,2025-06-11,2025-07-11,도봉구,공간사업(놀이터),건설/건축/인테리어,도봉구,도봉구,,
33,공간 사업부,놀이터사업팀,동대문구 새샘근린공원 실내놀이터 놀이공간 설계제작 및 설치사업,2024,2024-06-03,2025-06-30,동대문구,공간사업(놀이터),건설/건축/인테리어,동대문구,동대문구,,
34,E&E 사업부,전시 1팀,"NextRise 2025, Seoul",2025,2025-06-26,2025-06-27,한국산업은행(KDB),"비즈니스 행사, 전시",창업/취업/스타트업/비즈니스,한국산업은행(KDB),한국산업은행(KDB),"벤처스타트업의 열린 사업협력과 투자유치 지원을 목적으로 개최되는 아시아 최대 규모 글로벌 스타트업 페어로 부스전시, 1:1밋업, 컨퍼런스, 피칭, 어워즈, 네트워킹, 채용설명회, 창업세미나, 파트너행사 등 프로그램 개최",#스타트업 #벤처
35,E&E 사업부,이벤트&엑스포 1팀,2025년 세계 환경의 날,2025,2025-06-04,2025-06-05,환경부(ME),"기타회의, 전시홍보관, 이벤트",에너지/환경,"유엔환경계획(UNEP), 환경부(ME)","유엔환경계획(UNEP), 환경부(ME)",,
36,E&E 사업부,이벤트&엑스포 2팀,대한민국 동행축제 '세종행사' 연계 수산물 판매촉진행사,2025,2025-05-02,2025-05-04,한국수산회,프로모션,농수축산/식음료,해양수산부(MOF),한국수산회,"대한민국 동행축제와 연계하여, 지역사회 행사 참여 및 수산물 소비 촉진 ",#정책프로모션 #수산물판매촉진 
37,공간 사업부,놀이터사업팀,서울형 키즈카페 송파구 방이동점 가구 제작 납품,2025,2025-03-02,2025-04-30,하하호호 방이 임마누엘,공간사업(놀이터),건설/건축/인테리어,하하호호 방이 임마누엘,하하호호 방이 임마누엘,서울형 키즈카페 송파구 방이동점 가구 제작 납품,가구제작
38,컨벤션 사업부,컨벤션 1팀,제10차 아워오션 컨퍼런스(OOC),2025,2025-04-28,2025-04-30,해양수산부(MOF),국제회의,에너지/환경,"해양수산부(MOF), 부산광역시","해양수산부(MOF), 부산광역시","해양분야 전 주제(해양보호구역, 해양오염, 기후변화, 지속 가능한 어업, 해양경제, 해양안보)에 대한 논의를 하는 국제회의","해양, 해양보호, 국제회의"
39,공간 사업부,놀이터사업팀,영등포구 서울형 키즈카페(여의동점) 설계 용역,2025,2024-11-26,2025-04-30,JP건축사사무소,공간사업(놀이터),건설/건축/인테리어,영등포구,영등포구,,
40,공간 사업부,놀이터사업팀,중랑구 공공형 실내놀이터 3호점 놀이구조물 설계 및 제작,2025,2024-12-13,2025-04-30,중랑구,공간사업(놀이터),건설/건축/인테리어,중랑구,중랑구,,
41,E&E 사업부,이벤트&엑스포 1팀,환경 협력 네트워크 구축을 위한 주한공관장 초청 간담회,2025,2025-04-28,2025-04-28,환경부(ME),기타회의,에너지/환경,"유엔환경계획(UNEP), 환경부(ME)","유엔환경계획(UNEP), 환경부(ME)",,
42,공간 사업부,놀이터사업팀,위례 포레나송파 서울형키즈카페 공사,2025,"2024-12-12, 2025-02-28","2025-04-27, 2025-04-07",(주)이지오종합건설,공간사업(놀이터),건설/건축/인테리어,송파구,송파구,,
